campaignTitle,description,url,mainCategory,category,location,countryState,city,continent,valuta,creator,backed,comments,created,numSuccessfulCampaigns,numLiveCampaigns,pastSuccessRate,facebookFriends,goal,currency,campaignDuration,numCollaborators,totWordCount,mainVideo,numAdditionalVideos,numImages,viewGallery,success
The Official One and Only Two-Faced Donald Trump Voodoo Doll,"Bend the President to your will through the use of the darkest, black magic! (At the very least, it's incredibly therapeutic!)",https://www.kickstarter.com/projects/1059145942/the-official-one-and-only-two-faced-donald-trump-v?ref=ending_soon,Games,Games,"Los Angeles, CA",California,Los Angeles,North America,usd,Dan Chung,2,2,1,0,0,0.5,871,50000,usd,30,0,556,0,0,4,0,0
H2O Generator - An Electricity Generator That Runs On Water!,This device acts like a gasoline generator but uses water instead of gasoline produce zero emissions since the output is water!,https://www.kickstarter.com/projects/1064149290/h2o-generator-an-electricity-generator-that-runs-o?ref=ending_soon,Technology,Technology,"Orlando, FL",Florida,Orlando,North America,usd,Jamie Kitchens,0,99,2,0,0,0,93,10000,usd,30,0,167,0,0,0,0,0
HAND KNITTED TOP HATS,I hand knit top hats and would like to start a business from it. It's a great skill and the products turn out great. I enjoy it alot.,https://www.kickstarter.com/projects/1064439453/hand-knitted-top-hats?ref=ending_soon,Crafts,Crochet,"Seattle, WA",Washington,Seattle,North America,usd,Jessica Marlene Ryals,0,2,1,0,0,0.5,215,1000,usd,60,0,179,0,0,0,0,0
Louisville Bespoke,Louisville Bespoke is a collaborative space to foster and reawaken the fashion craft! Create Fashion / Learn Fashion / Buy Fashion,https://www.kickstarter.com/projects/1065813732/louisville-bespoke?ref=ending_soon,Fashion,Fashion,"Louisville, KY",Kentucky,Louisville,North America,usd,Yamilca Rodriguez,0,2,1,1,0,0.5,735,10000,usd,32,0,493,1,4,8,0,1
Fairfax Royalty Photography Series (@fairfaxroyalty),Donate and you will receive a photography book and prints! Gallery showing in March 2017,https://www.kickstarter.com/projects/1068789370/fairfax-royalty-photography-series?ref=ending_soon,Art,Art,"Los Angeles, CA",California,Los Angeles,North America,usd,Rachel Berkowitz,0,2,1,1,0,0.5,2427,3000,usd,59,0,427,1,0,0,0,1
Next-Gen Martial arts training,"Hello, I'm building a website that maximizes martial arts training and networking all across the world so that everyone can learn",https://www.kickstarter.com/projects/107078647/next-gen-martial-arts-training?ref=ending_soon,Technology,Web,"Chicago, IL",Illinois,Chicago,North America,usd,Paul Davis,0,2,1,0,0,0.5,0,800,usd,30,0,490,1,0,0,0,0
A NewsHound's Guide to Student Journalism,This comic book-style high school textbook makes learning journalism engaging and important.,https://www.kickstarter.com/projects/107082341/a-newshounds-guide-to-student-journalism?ref=ending_soon,Journalism,Print,"Brooklyn, NY",New York,Brooklyn,North America,usd,Katina Paron,0,1,1,1,0,0.5,0,17000,usd,30,0,955,1,0,9,0,1
Opening the Earth: The Potato King,The story of a humble farmer in the Andes of Peru who is responsible for guarding agricultural biodiversity critical to humanity.,https://www.kickstarter.com/projects/107162608/opening-the-earth-the-potato-king?ref=ending_soon,Film & Video,Documentary,"Calca, Peru",Peru,Calca,South America,usd,Aaron Ebner,0,2,1,1,0,0.5,1514,7450,usd,30,1,611,1,0,10,0,1
ViviStand - Next Generation Sit/Stand Desks,"The ViviStand sit/stand desk is versatile, intelligent, and refined. Simply the best sit/stand desk on the market.",https://www.kickstarter.com/projects/1072402579/vivistand-next-generation-sit-stand-desks?ref=ending_soon,Technology,Technology,"Salt Lake City, UT",Utah,Salt Lake City,North America,usd,Rob Schroader,1,212,1,1,0,0.5,0,30000,usd,30,0,1072,1,0,27,0,1
Alice in Wonderland Fundraiser! by Del Mar Ballet,Del Mar Ballet is raising funds for costumes and a backdrop for our children's production of Alice in Wonderland! THANK YOU EVERYONE! WE HAVE REACHED OUR GOAL! MUCH APPRECIATION FOR THE SUPPORT!,https://www.kickstarter.com/projects/1076047345/alice-in-wonderland-by-del-mar-ballet?ref=ending_soon,Dance,Performances,"San Diego, CA",California,San Diego,North America,usd,"Marie Arts, Director",0,2,2,2,0,1,1228,2000,usd,30,0,341,0,0,7,0,1
"Alaska Escape Rooms: ""Raven's Eye"" A fun indoor adventure","A immersive, interactive, puzzle experience, designed by local Alaskan artists. With emphasis on storytelling and original mechanics",https://www.kickstarter.com/projects/107660168/alaska-escape-rooms-ravens-eye-a-fun-indoor-advent?ref=ending_soon,Games,Live Games,"Anchorage, AK",Alaska,Anchorage,North America,usd,Graeme Deishl,0,2,1,0,0,0.5,0,10000,usd,30,0,620,1,0,2,0,0
JOBS iWEAR,DESIGN IS IN OUR DNA,https://www.kickstarter.com/projects/1077679432/jobs-iweartm?ref=ending_soon,Design,Product Design,"Los Angeles, CA",California,Los Angeles,North America,usd,Art Sevada,1,2,1,0,0,0.5,4937,35000,usd,60,0,689,0,0,17,1,0
Fierce Stranger,"""Fierce Stranger"" is a 100k+ word novel, with 52 original drawings, to be printed locally in Long Beach, California.",https://www.kickstarter.com/projects/1077745238/fierce-stranger?ref=ending_soon,Publishing,Fiction,"Long Beach, CA",California,Long Beach,North America,usd,Louis Anthes,0,2,1,0,0,0.5,0,8000,usd,59,0,223,1,0,0,0,0
"Velocity Mount - iPhone, Android, Tablet & iPad Video Mount",Take your iPhone or Android smartphone to the next level with this universal POV (point of view) camera mounting system.,https://www.kickstarter.com/projects/1079008808/velocity-mount-iphone-android-tablet-and-ipad-vide?ref=ending_soon,Design,Product Design,"San Francisco, CA",California,San Francisco,North America,usd,Skeleton Candles,2,43,5,2,0,0.5,698,4000,usd,30,0,707,1,0,0,1,0
April Folly (1920),"To buy, edit, and score this 1920 film starring Marion Davies and get it back into circulation.",https://www.kickstarter.com/projects/1079843982/april-folly-1920?ref=ending_soon,Film & Video,Film & Video,"Belgrade, ME",Maine,Belgrade,North America,usd,Edward Lorusso,6,185,7,7,0,1,48,2000,usd,30,0,660,0,0,0,0,1
Jenny's 2nd Album,"Record, mix, master, replicate, and promote a world-class second full-length album of new original material.",https://www.kickstarter.com/projects/1082282959/jennys-2nd-album?ref=ending_soon,Music,Indie Rock,"Los Angeles, CA",California,Los Angeles,North America,usd,Jenny Van West,4,127,2,2,0,1,1318,17000,usd,29,0,1040,1,0,7,0,1
The Chronicles Vol. 2,"The Chronicles is a Hip Hop audio book filled with bible stories, accurately transcribing ancient scriptures into modern day songs.",https://www.kickstarter.com/projects/1083449872/the-chronicles-vol-2?ref=ending_soon,Music,Learn more about accountability.,"Long Beach, CA",California,Long Beach,North America,usd,Wiseman Production,0,2,1,0,0,0.5,312,10000,usd,33,0,107,1,0,0,0,0
The Orange Cow,The Orange Cow is a Children's book ready to be published. It is an amazing story written by someone with a dream of making kids smile.,https://www.kickstarter.com/projects/108426032/the-orange-cow?ref=ending_soon,Publishing,Children's Books,"Long Island, NY",New York,Long Island,North America,usd,Aierelle,1,2,1,0,0,0.5,0,4500,usd,30,0,164,0,0,0,0,0
True Freedom,I am going for my dream of writing a book on my truth of many important aspects of this world that affect all. I want to help.,https://www.kickstarter.com/projects/1084265737/true-freedom?ref=ending_soon,Publishing,Publishing,"Plano, TX",Texas,Plano,North America,usd,Ashley,0,2,1,0,0,0.5,0,20000,usd,30,0,280,0,0,0,0,0
Agility with Allen: The Whole Caboodle [video class],"Most companies who think they're ""Agile"" aren't. Learn true agility in Allen Holub's comprehensive video master class. Go beyond Scrum!",https://www.kickstarter.com/projects/1086486319/agility-with-allen-the-whole-caboodle-video-class?ref=ending_soon,Technology,Software,"Berkeley, CA",California,Berkeley,North America,usd,Allen Holub,0,2,1,1,0,0.5,0,5000,usd,30,0,2439,1,0,2,0,1
Super Powers Cases Tech Device Cases for Phones and Tablets,I am seeking funding to move into a larger work space. I have become a major seller on Etsy in the tech device cases category.,https://www.kickstarter.com/projects/1090281190/super-powers-cases-tech-device-cases-for-phones-an?ref=ending_soon,Technology,Gadgets,"Corpus Christi, TX",Texas,Corpus Christi,North America,usd,Susan Powers,0,2,1,0,0,0.5,647,5000,usd,30,0,90,0,0,0,0,0
"Kidgenda, a parenting app as unique as your child",Kidgenda solves two issues faced by millions of parents: finding meaningful activities for their kids and scheduling awesome playdates,https://www.kickstarter.com/projects/1090321070/kidgenda-a-parenting-app-as-unique-as-your-child?ref=ending_soon,Technology,Apps,"New York, NY",New York,New York,North America,usd,Mike Barsella,0,2,1,0,0,0.5,0,80000,usd,30,0,782,1,0,6,0,0
