"","x"
"51","Power Plant is a delicious, savory plant-based snack made with organic eggplants. 100% vegan, gluten-free, and soy-free."
"52","Bend the President to your will through the use of the darkest, black magic! (At the very least, it's incredibly therapeutic!)"
"53","This device acts like a gasoline generator but uses water instead of gasoline produce zero emissions since the output is water!"
"54","I hand knit top hats and would like to start a business from it. It's a great skill and the products turn out great. I enjoy it alot."
"55","Louisville Bespoke is a collaborative space to foster and reawaken the fashion craft! Create Fashion / Learn Fashion / Buy Fashion"
"56","Donate and you will receive a photography book and prints! Gallery showing in March 2017"
"57","Hello, I'm building a website that maximizes martial arts training and networking all across the world so that everyone can learn"
"58","This comic book-style high school textbook makes learning journalism engaging and important."
"59","The story of a humble farmer in the Andes of Peru who is responsible for guarding agricultural biodiversity critical to humanity."
"60","The ViviStand sit/stand desk is versatile, intelligent, and refined. Simply the best sit/stand desk on the market."
"61","Del Mar Ballet is raising funds for costumes and a backdrop for our children's production of Alice in Wonderland! THANK YOU EVERYONE! WE HAVE REACHED OUR GOAL! MUCH APPRECIATION FOR THE SUPPORT!"
"62","A immersive, interactive, puzzle experience, designed by local Alaskan artists. With emphasis on storytelling and original mechanics"
"63","DESIGN IS IN OUR DNA"
"64","""Fierce Stranger"" is a 100k+ word novel, with 52 original drawings, to be printed locally in Long Beach, California."
"65","Take your iPhone or Android smartphone to the next level with this universal POV (point of view) camera mounting system."
"66","To buy, edit, and score this 1920 film starring Marion Davies and get it back into circulation."
"67","Record, mix, master, replicate, and promote a world-class second full-length album of new original material."
"68","The Chronicles is a Hip Hop audio book filled with bible stories, accurately transcribing ancient scriptures into modern day songs."
"69","The Orange Cow is a Children's book ready to be published. It is an amazing story written by someone with a dream of making kids smile."
"70","I am going for my dream of writing a book on my truth of many important aspects of this world that affect all. I want to help."
"71","Most companies who think they're ""Agile"" aren't. Learn true agility in Allen Holub's comprehensive video master class. Go beyond Scrum!"
"72","I am seeking funding to move into a larger work space. I have become a major seller on Etsy in the tech device cases category."
"73","Kidgenda solves two issues faced by millions of parents: finding meaningful activities for their kids and scheduling awesome playdates"
"74","Want authentic ramen but don't have time to visit Japan? Then become a ramen chef yourself with our Ramen Hero meal kit!"
"75","Young entrepreneur RJ Batts invented Tip Tough to revolutionize food prep in the kitchen. This kitchen gadget protects your fingers."
"76","An unprecedented cookbook featuring recipes and stories by refugees now working as chefs in New York City."
"77","A novel about self and family discovery, and dealing with what you learn. A tale of growing and overcoming."
"78","I have created heat reflective decorative covers for my Yeti cooler and cups. Made in America, using Sunbrella and Firesist fabrics."
"79","Pixelmash is a new tool for making pixel art easily from photos, sketches, or scratch, using a nifty resolution-independent workflow."
"80","Yeah. The title sorta says it. We're Zach & Nate. Our band is Dash Avenue. And we want you to be a part of our journey to the top."
"81","I am proud to introduce The Patchwork Circus - a story about believing in the power of imagination and the magic of childhood."
"82","$0 budget micro-short has ballooned into a few hundred dollar venture, as a result we need funds to cover festival submissions."
"83","My novel series is a unique take on the fantasy genre. I express my own battle with combat PTSD through the main character, Aldric."
"84","Please support independent filmmakers by donating to a short film written by a writer in U.S. who is Asian, female, and LBGT."
"85","I am Anna DeLuca formerly Beverly Hills Hair Stylist Introducing WrapCityGal Multi functional Clothing, & wrap accessories to the World"
"86","Short Film - As loner and recluse Coburn delves deeper into isolation, he begins to have trouble deciphering illusion from reality."
"87","My name is Chris Chips and I am Writing a Autobiography about my life to as well as recording a sound track to go with it."
"88","Smells Like Money, Drips Like Honey, Taste Like Mocha, Better Run AWAY"
"89","ZOS Halo is a revolutionary new product that allows you to drink wine on your own terms."
"90","Old school musician in search of funding to hire social media strategist/manager and other unseen costs for upcoming ""album"" release."
"91","A series of informal classes using an uncommon approach for purchasing, planning and preparing food. Dinner just got easier."
"92","A podcast featuring stories from life on the road, tips for freestyle travelers and discussions with hitchhikers and other characters."
"93","A fast-paced, twin-stick, homebrew shooter for the original NES and also PC, complete with Kickstarter-exclusive level editor."
"94","Virginia has over 400 years of proud brewing tradition. I want to support this tradition by promoting Virginia brewers and breweries."
"95","This is my album and Anne Dessens Trio USA/UK Tour Project! Help me bring this colorful blend of jazz/folk/country & my Trio to you!"
"96","The Giant Flowers is a public art piece installed in Highland Park, Brooklyn for one year. Presented by the New York City Department of Parks and Recreation."
"97","Nelly Nicole is a young inspiring artist with a message of love and peace. She is on a mission to record her debut album for the world"
"98","The focus of our company is simply, safe, innovations. Blind spot camera systems and distance indicators for commercial truck drivers."
"99","When Interceptor battles a mysterious figure who has come to claim the shield Prydewinter, who walks away as the Last Knight of Avalon?"
"100","I'm putting on an art show at Chef Marcus Samuelsson's Red Rooster Harlem"
"101","A young photographer confronts the idea of being a man in New England's bada-bing culture of working class Italian Americans."
"102","Your customizable, palm-sized companion featuring a smart camera and automation skills. There for you wherever you go."
"103","Actor/Writer just trying to have my vision come to life, and see if people/production companies/agents are interested in this as well."
"104","A comfortable and rustic wine & beer bar that serves delicious Southern/California shared plates. A place to go to relax with friends."
"105","Eagle & Cross is ready for the next level of leather production and bookbinding. Where creativity meets quality."
"106","We want to share our gift of organic talent and creating feel good music with the WORLD!!"
"107","Introducing TART: Trump inspired art. TART's are hand drawn portraits of President Trump. Each TART is the size of a sports card."
"108","Esper Genesis is a versatile science fiction RPG and setting that uses the 5th edition rules of the world's greatest roleplaying game."
"109","""Between A to B"" is a 12-part podcast travel series to be released as the host hikes the 2,600+ miles of the Pacific Crest Trail."
"110","Making you feel confident and beautiful all day in my cozy tanks and tees !"
"111","Funding for print copies of Uni High's student-run magazine, Unique!"
"112","The Red Thistle Wagon, our new food trailer coming soon. Chalkboard Dinners resuming with expanded hours. Custom LIV POTTERY for sale."
"113","The Wallabout Film Festival began in 2009 at Pratt Institute and is a student-run festival that showcases student short films."
"114","Super Cat is here to save the day! Help fund the production of these amazing Super Cat enamel pins!"
"115","Looking to bring gourmet milkshakes and ice cream sundaes on the road. No where in CT can you get a milkshake like this on wheels!"
"116","(Credit to JayProductsPaintings) So this is about farming in space no not like ""Stardew Valley"" It unique graphics! that all i can say!"
"117","Dad and his 7-year-old daughter created this fun card game that mixes Uno, War, and Texas Holdem with Robots, Monsters, and Holograms."
"118","Making a sweet track, for everyone to enjoy."
"119","I invite you to be a part of my new album, 'Red Mountain'. Pre-Order, share, listen & be inspired."
"120","Rollercoaster Man is on a mission to bring family friendly hip-hop to the world. So, let's make a music video for Oh My B'gosh!"
"121","I'm creating a book of Hope for the dying world. To tell the story the Logan Family has suffered, and how we have overcome."
"122","Premade Designs is a platform for e-sports designers to sell their work. We need a new website to enhance the experience."
"123","Introducing the unique and brand new ODIN belt system. Whether on the field or at the range,all your gear and MORE is located at ease."
"124","We have ten tshirts designs with a message of protest against Trump. A few are clever, some are direct and some are even funny."
"125","Hand crafted. All Natural Ingredients. Michigan Made. Distributing a new line of cocktail and food flavoring bitters."
"126","We are taking things to the next level with a well-known producer on this project and releasing our next single to Texas radio in June!"
"127","boB needs life and Santa needs you to help!"
"128","Introducing a concept that would help promote positive traits and behaviors for the betterment of all mankind."
"129","Family of passionate Alaskan fishermen who want to share the good of Wild Alaskan Salmon with conscious consumers through our Co-Op."
"130","Russell's original musical style takes the listener on a journey through life's dreams, love, celebrations, serenity and adventure."
"131","Help us build a therapeutic art center in San Francisco, open to all interested in connecting, inspiring, healing, and creating."
"132","Powerful spirits, living armor & clever witches await in Galahad And The Far-Off Horizon, a collection of five fantastical adventures."
"133","My long term goal is to set up a full time Tintype Portrait studio which will be available on location or in my home studio."
"134","The C Petzvar 3.2/105 is a petzval lens adapted for movie cameras. Its native Pentacon Six mount can be adapted to virtually any camera"
"135","My Goal: Cast\paint US Grant miniatures and position them in public areas, for anyone to find and keep in every Continental US state!"
"136","We Make New York Style Bagels, We are Opening our New Space in the Tangletown Neighborhood in Minneapolis."
"137","Siafu Comix presents an exciting, fantasy-adventure comic about 4 brothers who survive a crash near an tribal reservation in Africa."
"138","A collection of clothing that reps the south side using inspiration from urban areas."
"139","In 2008, I published an essay about Luigi Serafini's CODEX SERAPHINIANUS. I'm raising funds to release a new and expanded edition."
"140","Friends! I am making a travel blog that'll be a collection of sorties from me and people I meet. I will then animate the stories."
"141","For the last 50 years, conspiracy researchers have suspected Ruth & Michael Paine of being part of a plot to frame Lee Harvey Oswald."
"142","Create and publish a syllabus, 2 books and licensing for teachers to teach my trademarked Pocket Sketching everywhere"
"143","We handcut our donuts and we use traditional techniques and a secret dough recipe that has already proven itself a star"
"144","Inspiring version of Hallelujah (Aleluya) in Spanish to be produced by a Grammy nominated music producer, Ft. Angel Salazar"
"145","9-track EP"
"146","Development of a life skills coaching certification curriculum based on the book and movie from Steve Pemberton ""A Chance in the World"""
"147","A series of three colorful monster illustration enamel pins. Plus a free bonus mystery pin for those who buy the entire series."
"148","FGB is your online coffee source, with the finest and widest selection of fresh-roasted specialty gourmet coffees in the industry."
"149","A story about accepting others and knowing ones self-worth."
"150","I'm working on a new EP, Fickle & Hollow. Your pre-order will help with final recording, marketing costs and an upcoming European tour."
"151","A project to create 3"" hex-based map based on the Commisar House in Stalingrad in 1942 for use with 15mm miniatures."
"152","Fimbulvinter has arrived! Keep the Yule Log burning throughout Yuletide to survive the endless winter before Ragnarok!!!"
"153","Rudspice is a concentrated bottle of blended chilies and spices that are balanced across the palate. One spice all meals."
"154","The World's lightest portaledge is back. And better. The D4 Portaledge is stronger, lighter and ready for your next big wall adventure!"
"155","What Better Way Then A World Tour To Give the people what they deserve. MR SWAGG 360 Is the best HIP-HOP/ROCK ARTIST ALIVE"
"156","A proper introduction can be a small ""hello,"" a firm handshake, or in some cases, a grand get together."
"157","An all new crime series with a supernatural twist in every episode, that will leave the audience wanting more."
"158","Lush accounts of intimate meals, autism, pastoral youth and discovery, loss, and more come together in this debut collection of poetry."
"159","We've begun our second full length record and we need your help for the final push! Join us and become a part of this project!"
"160","We are El Norte_o. We make the best meat snacks in the universe. We want to create a video of a Boston Terrier versus a Matador."
"161","I am looking to buy stencils and mail them out to people that are willing to start spray painting our message where it will get noticed"
"162","Ways To My Heart is an alphabet book about sharing food and activities with people we love!"
"163","KIZINGO spoons are designed to meet your child's developmental milestones, making mealtimes and eating habits more successful for life!"
"164","A guide from experience on how as a father to deal with the loss of a child, and the challenges that come with it."
"165","Fitness seminar for people in high stress jobs, labor intensive jobs, seniors, and students. V2V Mind, Body, Soul Experience, tHR Tour"
"166","We created an Arc Reactor orbit to give your friends amazing light shows and to be worn around your neck."
"167","This book explores all of existence with the balance. Whether it is simple human and animal emotions or creation of the universe itself"
"168","I invented gravity activated visual termite detection. The Red Eye Termite Station is a one of a kind game changer."
"169","Bobby Deitch Band- Grateful LP I've been writing songs since the age of 12 and this project is a dream come true!"
"170","THOR GENESIS sweeps the THOR faithful right back to where it started. THE GENESIS! Thank you for your participation in its development!"
"171","I'm simply writing a book. I think it has ideas that could change the world, or at least the people who read it."
"172","Project Child: Origins is an action-packed sci-fantasy web series prequel to the novel by Robin Deeter, Project Child Awakenings."
"173","Trademark rights to the world famous guitar straps have been secured. As a former employee I want to bring the straps back to market."
"174","BBO Boardshort Bottle Opener is one of a kind with a built in bottle opener that is attached to the pocket flap of the shorts"
"175","The world's first internet radio with Chromecast built-in."
"176","Bastion Kord is an epic military science fiction novel over a thousand pages long with a cast of mainly female characters."
"177","Dragon Lore is a story-driven, turn-based tactical JRPG that casts many interesting characters."
"178","SHFT IQ is the world's first virtual running coach with Artificial Intelligence. SHFT IQ will help you run better and faster. #RunRight"
"179","Original music that is derived from a wide spectrum of influences to include: jazz, latin, rock, funk, prog. rock, world, and more."
"180","Medshift X-change is a provider staffing mobile app that meets rapid changing medical staffing needs and reduces operating cost."
"181","Step-by-step videos instructing artists in ancient Japanese metalsmithing techniques to keep them alive and flourishing!"
"182","www.outlivetrump.com will be a master collection of impeachment efforts including rally locations, articles and petitions."
"183","sellin cute D.VA gun, hard enamel pins from overwatch! Guns for Original,B.va, and Junebug skins. @GoldenKoiFish may take a while"
"184","We're geeks, making and selling pin-up calendars of bearded men to raise money for the Testicular Cancer Awareness Foundation"
"185","An art, sent to the world with your support, from FLY NOWHERE nanogallery, the HQ of NOWHERE FC, at Lion's Gate Field, 100 Forsyth, NYC"
"186","Translating The Forward's coverage of the Leo Frank case into English to close this gap in American Jewish scholarship."
"187","Each sunshinetea patented Tea Stick is filled with 2.5 grams of the finest full leaf gourmet tea eliminating the need for an infuser."
"188","Artpark is launching a campaign to re-install Niagara 1979 (The Painted Parking Lot), by Gene Davis for the summer of 2017."
"189","I am getting funding to start up a graphic design, art and photography page. I am hoping to get much needed tech check out my YouTube c"
"190","The life of a struggling comedian and his navigation of the seemingly endless pitfalls of NYC in pursuit of the spoils of fame."
"191","Inspired by our friend's daily ritual, Mary's Vase is a wall hung flower vase creating a new emotional portrait every time it's used."
"192","This is a sports app that contains EVERY major sport on college and professional level. You make fantasy teams and compete in leagues."
"193","A stand-alone gamebook for 1-2 players set in the distant future. The world has been transformed. Your mission: restore humanity!"
"194","The owners of The Sweet Spot want to help our local community by bringing it together with music, conversation, and yummy baked goods."
"195","Turmoil of The Seven, an anime visual novel where the player experiences a galactic war from the perceptive of 4 different characters."
"196","I'm currently raising funds to release my story that will bring clarity to a lot of misconceptions about life."
"197","We have created the ultimate pre-lit tabletop Christmas tree. It has 50 full-color effects, changeable light caps, and an IR remote. You can still pre-order at www.TreeEffects.com"
"198","West African Cuisine is located in Kansas City,MO and will cater for people from all walks of life, providing native African food."
"199","iSaid-uSaid is a texting or in-person App that will help to improve communication between people in strained relationships."
"200","I am a 14 (soon to be 15) year old author writing a book about the challenges of a girl in today's world. I hope it helps others."
"201","Opening an art Studio with today's technology and current art students for tutoring to every person to acess for a small fee."
"202","I am designing an autonomous/remote controlled rover for research applications as well as learning."
"203","It's a T-Rex dressed as everybody's favorite bat-themed hero!"
"204","The ""Three Head"" Folio, #13, R.D.Jansen, 2017"
"205","Worldwide Africana, LLC presents a film about the Garifuna of Belize whose ancestry is both West African & indigenous Caribbeans."
"206","A 45min found footage style street magic film, where everything will be filmed by audience members or from Calen's point of view."
"207","MOLD Magazine explores how design can help feed a hungry planet."
"208","I hope to put a Chicago-Style Hot Dog Cart at the corner of 1st & Norfolk Avenue, as well as being available for hire for local events."
"209","Quazmo is a quadrant of centuries old fortune telling devices: runestones, astrology, numerology, and colors."
"210","An amazingly practical guidebook for women striving to manage a busy life and make life work."
"211","This project is to help support the funding of our new album titled 'Revision'."
"212","An all ages postcard format coloring book featuring whimsical creature combinations known as METOTS."
"213","I am an ordinary woman, who wants to make an extraordinary difference in young learners. So I've written easy readers short stories."
"214","CCBS, located in Boulder, CO, is an eco-friendly skateboard brand and manufacturer of high quality skateboards and longboards."
"215","Ever had somewhere to be and even with a closet full of clothes, felt like you still had nothing to wear?! We are here to help!"
"216","Unusual toys for everyone."
"217","Through the Door - Music about fantasy and life. Stories we love and a sideways look at the world."
"218","Soulfest Des Moines is a celebration of African American influence in art and culture through soul music, spoken word and soul food."
"219","Tired of those same old Monster raising games where you have to stick to certain monsters to be the top? Well this game is for you."
"220","Created as a tribute to Mexican traditions of Day of the Dead and the bingo game Loteria."
"221","We offer, high quality, custom Made in USA, wool & leather varsity jackets for high school athletes and everyday fashion in all sizes."
"222","Funding to help cover expenses of film and processing so I can continue to shoot more rolls of film, and produce my art. Thank You!"
"223","The Open Source Erector Set for UAV systems. A modular design erector set an standard, letting anyone build a scalable, fixed wing UAV."
"224","I'm creating this Kickstarter because I'm hungry just like everyone else. Who doesn't like soups and grilled cheese sandwiches!?"
"225","A memory challenge board game providing hours of enjoyment as well as improving players' recall, recollection and retention abilities."
"226","When you've done the unthinkable, what wouldn't you do to make it right? Lie? Steal? Kill?"
"227","Two women are pit against each other in a CIA mind game of double-crosses , double agents, and the cover up of war profiteering."
"228","An abandoned dog, a lost egg, and the search for family. Two odd characters find love, family, and purpose in unexpected places."
"229","Not-for-children picture book about a Powerful Leader, his faithful followers and what happens when his authority is challenged."
"230","I'm a 6th grade History & Science teacher with a mega-dream of making a beautiful album of songs."
"231","Learn to build your tiny house - and get it right the first time. You'll save time, money, materials, and tears. We'll teach you how."
"232","Bath bombs made to help relieve stress, sooth the body and moisturize skin."
"233","Proudly designed in Switzerland, the perfect always-on smartwatch blending classic design and smart features at an affordable price"
"234","Pre-order and more! Get A Certain Smile's debut LP Fits & Starts on limited edition vinyl."
"235","Two filmmakers' 8,000 mile journey across the country to separate fact from fiction in what they have been taught about the Vietnam War"
"236","An unique compilation book of 1001 of the most original, interesting, and universally profound epiphanies, ideas, and offbeat oneliners"
"237","The Genius Joe's Podcast is here to inform, entertain, and enlighten as we dive into the thoughts and lives of extraordinary people."
"238","Start saving your life's journey to the cloud. No likes or comments needed. Your own personal Website https://me.lifeol.io. - Free!"
"239","Because of the support our campaign received, not only will Nowadays open as a safe, legal space for music, food, drinks, learning and in-real-life human interaction it'll do so with incredible sound. Thank you."
"240","Lets your infant/baby conduct a FaceTime conversation with another Adult, facilitated by you"
"241","Rewriting history for a brighter tomorrow!"
"242","Embark on a fun adventure to discover 52 fruits with the whole family! Delight your taste buds, experiment, and learn all about fruit."
"243","The film production YOUNG BOYS SYNDICATE is a fast-paced tale of crime, betrayal, revenge and racial tension in the inner city."
"244","Cooking and power solutions that fit in your pocket."
"245","Created to deliciously fill common nutritional gaps in the Standard American Diet. Vegan, Gluten-Free, Paleo-Friendly, and GMO-Free."
"246","The City Like a Coral is a SF short story trilogy set in a city in the depths of the sea."
"247","After a 7-year long journey, we have a completed film! Now we want to share the voices of those affected by land grabbing far and wide."
"248","Treble on Huntington A Cappella is hoping to record our first full length album, and we need your help!"
"249","A book of mazes and comics based on stories from the Book of Mormon."
"250","PowerHub connects with your laptop's USB-C port to give you 3 USB-A, 1 HDMI port, 1 USB-C, and additionally 5000 mAh of power."
"251","Send in the Sun is a short student film that focuses on the story of two characters: Inspiration and The Writer."
"252","Coming of age story of a young lady caught between two worlds."
"253","Thanks to our backers, we were able to make this successful and bring you affordable, luxury, Italian made sunglasses. Check us out at www.wearcj.com"
"254","Join some of the finest Sherlockian writers as they explore the early days of Sherlock Holmes, before Watson, before Baker Street."
"255","The leash your dog can carry! Wrap and unwrap the leash around the built-in collar."
"256","From anywhere at any time. Use our mobile app or online virtual dispatch portal to request service from the nearest service provider."
"257","I'm making a new record of mostly unreleased music."
"258","Virtual screenwriting workshop and marketplace connecting users to a community of writers and filmmakers. Goal: Help women be heard."
"259","A rag tag group of teenagers band together to stop a centuries old demon from terrorizing their small Pennsylvania town."
"260","Building an app for students on campus to order food from local restaurants from the comfort of their dorm anywhere in the us."
"261","We are releasing the fifth and final Pick Your Path book for the Relic Worlds series, and we are using Kickstarter for the presales."
"262","Learn 5 Best Mobile Development Frameworks (Ionic, PhoneGap, React Native, JQM and Meteor) By Building Over 25 Projects"
"263","This is the third installment in The Adventure of Paperman trilogy: a highly imaginative fantasy adventure book for children."
"264","Super Laces/SLi-Tie is a shoelace tying teaching tool that will aid your child with the difficult task of learning to tie shoeslaces"
"265","I want to give talented Hispanic and Latino artists the opportunity to record their music at no cost to them and share it worldwide."
"266","Please send 1-2 pages of why you are proud to be Jewish for inclusion in my Proud to be Jewish book, acknowledging your input. Shalom!"
"267","The first Golf Vest designed to keep you warm on on the coldest of golf days + built in usb to charge any smart phone on the go!"
"268","This book encourages children to speak to each other in a manner that does not offend and hurt their friends and family's feelings."
"269","The ""True"" Islam is not the Islam you know..."
"270","Help Zach create a beautiful new album and raise 22k in 22 days!"
"271","Help fund the publishing of my first book WORTH WATCHING, a collection of my movie reviews and essays."
"272","Wish you had a Natural Soap for You & Your dogs ? One that Repels fleas ,Ticks & mosquitoes without Nasty chemicals? Well Here it is !"
"273","Sanctions against Russia, even NATO and EU, are in doubt. There is great urgency for a Special Summer Issue of Baltic Poetry, now."
"274","We are striving to put this on streaming televison."
"275","A haunting tale set during the late stages of World War I, revealing the harsh realities of war through urban legends and myth."
"276","Clear the Board is the hottest new yard game for the summer! You won't be able to stop once you start! An instant tradition"
"277","We are Jon and Kate, two average Americans, looking for the American middle class dream- our first home."
"278","Help me raise funds to start my gourmet cupcake business! This is a redone campaign."
"279","Seeker is an exciting new take on an old classic that celebrates diversity! Fits in your pocket. 2+ players. Ages 4 and up."
"280","This is a brief documentary about positive stories coming from Flint, Michigan."
"281","Fast Food Fight Club is a multiplayer card game for people who love food and senseless violence. NSFW pack available."
"282","A career website that posts Alaska Native/American Native jobs, including Tribal health, gaming, gov't, housing. The indeed for Tribes."
"283","Creating a place to sell products made in Chautauqua County. A boon for our visitors as well as our talented craftsmen and artisans."
"284","a future Kansas City community printshop looking to inspire the artist in all of us."
"285","A collection of short stories to explain parts of San Francisco's Bay Area that may be difficult to discuss with a young one."
"286","The World's First Smart Fidget Spinner Device. Take your fidgeting to a new level with programmable LEDs and phone connectivity."
"287","Embrace the hardcore, the sensitive, the unbridled vivacity of Lydia Lunch, spoken word artist & singer of the NY No Wave scene."
"288","Comitem Couture, Inc.'s mission is to bring forth sheer elegance, luxurious style, and eye-catching fashion to any bea"
"289","Black Sheep! Classic Tavern, Bomb Sandwiches, Approachable Oysters. Never Mixologists, Always Bartenders!"
"290","Will be marketing with merchandise, promotions, etc., and also releasing a new album. Will return favor with free merch, and more."
"291","The ugly boring bike hook era is coming to an end. Dan lets you stagger multiple bikes horizontally in a space saving way."
"292","The Bagram Pack is urban style backpack for you to carry easier, smarter, and more comfortable."
"293","I'm creating this funky style head wear with multiple styling purposes, from bad hair day cover ups, to extra styling to outfits."
"294","Our Mission: To bless the heart of God and the Body of Christ with music and song"
"295","Namaskar! I would like to create my first album of Kiirtan tunes and I need a very basic home studio set up to get started."
"296","Bring new life, through music, to historic Jewish spaces that have both beauty and extraordinary acoustics."
"297","Cynara Madison is a girls apparel line making a change one penny at a time. Our mission is to inspire and teach financial independence."
"298","Tin Lunchbox Review, our literary magazine, includes striking poetry and prose mixed wonderfully with powerful artwork-feast your eyes!"
"299","I am self publishing a book through Amazon. I need funding for editing, formatting, interior and cover design."
"300","We are hosting a conference, open to everyone, to improve wellness and reduce health disparities in the Korean American community."
"301","Diamond Records is a record label that is focused around electronic dance music (EDM). We work with from artists all around the world!"
"302","I Like To Hurt People Too DVD Reveals The Incredible True Story Behind 1978 Cult Classic Wrestling Feature I Like To Hurt People"
"303","So unusual is our existence that in the midst of desolation comes a new enlightenment. Welcome to ""Such an Odd Destruction - Part II"""
"304","duopila is a small toy made of two balls connected with strong plastic and is perfect for all sorts of play! Spin, throw, or bounce it!"
"305","A documentary-style short film based on the wildlife films produced by the BBC... only set in the galaxy far, far, away."
"306","The Weaver is on UT campus...temporarily. Help us raise money & make this a permanent installation so you and others can keep hanging."
"307","A handmade collection of Bath, Body and Home products. Lotions, Scrubs, Hair and Body Mist, Pet Refreshing Sprays and Home Fragrances"
"308","Tangledeep is a charming, super-polished dungeon crawler / roguelike RPG inspired by the very best games from the SNES golden age!"
"309","Soy April Russel, escritora novel y necesito recaudar dinero para la coedicion y publicaci n de mi libro y poder cumplir mi sueno."
"310","The Jr Ranger Adventures books are my way of motivating families to go camping and read more, ending with fun facts and puzzles."
"311","This is the new Wicked Liz & The Bellyswirls CD featuring incredible new songs written by Wicked Liz herself!"
"312","I'm a Taco Cart brought out of Mexico. The humans that saved me have dreams to feed & employ the adults that come from the streets."
